id,work_type,work_id,title_original,title_fa,title_romanized,title_gloss_en,title_gloss_type,author_id,author_en,author_fa,translator_id,translator_en,translator_fa,year_original,year_persian,reprint_status,reprint_number,notes_fa,notes_en,source_appendix
IFMD_0001,original,OPW_0001,طی زمان,طی زمان,Tey-e Zamān,Through Time,ai_literal_gloss,IA_0026,Mousa Nasri Hamedani,موسی نثری همدانی,NA,NA,NA,NA,1301,yes,multiple,,,Appendix D
IFMD_0002,original,OPW_0002,م‍ج‍م‍ع‌ دی‍وان‍گ‍ان,م‍ج‍م‍ع‌ دی‍وان‍گ‍ان,Majma'-e Divānegān,Assembly of Madmen,ai_literal_gloss,IA_0033,Sanatizadeh Kermani,صنعتی‌زاده کرمانی,NA,NA,NA,NA,1305,yes,multiple,چاپ «مطبعه‌ی فردوس رشت» و چاپ های دیگر,Printed by Ferdows Press (Rasht) and in other editions.,Appendix D
IFMD_0003,original,OPW_0003,رستم در قرن بیست و دوم,رستم در قرن بیست و دوم,Rostam dar Gharn-e Bist-o Dovom,Rostam in the Twenty-Second Century,ai_literal_gloss,IA_0033,Sanatizadeh Kermani,صنعتی‌زاده کرمانی,NA,NA,NA,NA,1313,yes,3,در سال 1396 مجددا توسط انتشارات نفیر‏ منتشر شد و تا سال 1398 به چاپ دوم رسید.‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬,Republished by Nafir Publications in 2017 (1396) and reached its second edition by 2019 (1398).,Appendix D
IFMD_0004,original,OPW_0004,درخت مروارید,درخت مروارید,Derakht-e Morvārid,The Pearl Tree,ai_literal_gloss,IA_0013,Jabbar Baghcheban,جبار باغچه‌بان,NA,NA,NA,NA,1337,no,NA,,,Appendix D
IFMD_0005,original,OPW_0005,بابا برفی,بابا برفی,Bābā Barfi,Snowy Grandpa,ai_literal_gloss,IA_0013,Jabbar Baghcheban,جبار باغچه‌بان,NA,NA,NA,NA,1349,yes,2,چاپ دوم (در سال 1395 تا 1396),Second edition (2016 to 2017).,Appendix D
IFMD_0006,original,OPW_0006,دوست ناشناس,دوست ناشناس,Dust-e Nāshenās,The Unknown Friend,ai_literal_gloss,IA_0018,Mirhadi Rabbani,میرهادی ربانی,NA,NA,NA,NA,NA,NA,NA,,,Appendix D
IFMD_0007,original,OPW_0007,من حرفی دارم که فقط شما بچه‌ها باور می‌کنید,من حرفی دارم که فقط شما بچه‌ها باور می‌کنید,Man Harfi Dāram ke Faghat Shomā Bacheh-hā Bāvar Mikonid,I Have Something to Say That Only You Children Will Believe,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1348,no,NA,,,Appendix D
IFMD_0008,original,OPW_0008,هفت روز هفته دارم,هفت روز هفته دارم,Haft Ruz-e Hafteh Dāram,I Have Seven Days of the Week,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1364,yes,6,چاپ ششم تا 1393,Sixth edition by 2014 (1393).,Appendix D
IFMD_0009,original,OPW_0009,ه‍ف‍ت‌ ک‍م‍ان‌، ه‍ف‍ت‌ رن‍گ,ه‍ف‍ت‌ ک‍م‍ان‌، ه‍ف‍ت‌ رن‍گ,"Haft Kamān, Haft Rang","Seven Arches, Seven Colors",ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1364,yes,5,,,Appendix D
IFMD_0010,original,OPW_0010,ه‍زار پ‍ل‍ه‌ ب‍ه‌ دری‍ا م‍ان‍ده‌ اس‍ت‌,ه‍زار پ‍ل‍ه‌ ب‍ه‌ دری‍ا م‍ان‍ده‌ اس‍ت‌,Hezār Pelleh be Daryā Mānde Ast,A Thousand Steps Remain to the Sea,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1364,yes,2,,,Appendix D
IFMD_0011,original,OPW_0011,تو دی‍گ‍ر از ای‍ن‌ ب‍وت‍ه‌ ه‍زار گ‍ل‌ س‍رخ‌ داری‌,تو دی‍گ‍ر از ای‍ن‌ ب‍وت‍ه‌ ه‍زار گ‍ل‌ س‍رخ‌ داری‌,To Digar az In Buteh Hezār Gol-e Sorkh Dāri,You Now Have a Thousand Red Flowers from This Bush,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1368,no,NA,,,Appendix D
IFMD_0012,original,OPW_0012,نوشتم باران، باران بارید,نوشتم باران، باران بارید,"Neveshtam Bārān, Bārān Bārid","I Wrote ""Rain"", and It Rained",ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1368,no,NA,,,Appendix D
IFMD_0013,original,OPW_0013,خرگوش سفیدم همیشه سفید بود,خرگوش سفیدم همیشه سفید بود,Khargush-e Sefidam Hamisheh Sefid Bud,My White Rabbit Was Always White,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1369,yes,7,,,Appendix D
IFMD_0014,original,OPW_0014,در بهار، پرنده را صدا کردیم جواب داد,در بهار، پرنده را صدا کردیم جواب داد,"Dar Bahār, Parandeh rā Sedā Kardim Javāb Dād","In Spring, We Called the Bird and It Answered",ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1369,no,NA,,,Appendix D
IFMD_0015,original,OPW_0015,روزه‍ای‌ آخ‍ر پ‍ای‍ی‍ز ب‍ود,روزه‍ای‌ آخ‍ر پ‍ای‍ی‍ز ب‍ود,Ruzhā-ye Ākhar-e Pāyiz Bud,It Was the Last Days of Autumn,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1369,no,NA,,,Appendix D
IFMD_0016,original,OPW_0016,ح‍وض‌ ک‍وچ‍ک‌ ق‍ای‍ق‌ ک‍وچ‍ک,ح‍وض‌ ک‍وچ‍ک‌ ق‍ای‍ق‌ ک‍وچ‍ک,"Hoz-e Kuchak, Ghāyegh-e Kuchak","Small Pond, Small Boat",ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1370,no,NA,,,Appendix D
IFMD_0017,original,OPW_0017,در بهار خرگوش سفیدم را یافتم,در بهار خرگوش سفیدم را یافتم,Dar Bahār Khargush-e Sefidam rā Yāftam,In Spring I Found My White Rabbit,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1370,yes,2,,,Appendix D
IFMD_0018,original,OPW_0018,خ‍واب‌ ی‍ک‌ س‍ی‍ب‌ س‍ی‍ب‌ ی‍ک‌ خ‍واب,خ‍واب‌ ی‍ک‌ س‍ی‍ب‌ س‍ی‍ب‌ ی‍ک‌ خ‍واب,"Khāb-e Yek Sib, Sib-e Yek Khāb","The Dream of an Apple, the Apple of a Dream",ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1373,no,NA,,,Appendix D
