id,title_original,title_romanized,title_gloss_en,title_gloss_type,author_id,author_en,author_fa,year_persian,reprint_status,reprint_number,notes_fa,notes_en,source_appendix
OPW_0001,طی زمان,Tey-e Zamān,Through Time,ai_literal_gloss,IA_0026,Mousa Nasri Hamedani,موسی نثری همدانی,1301,yes,multiple,,,Appendix D
OPW_0002,م‍ج‍م‍ع‌ دی‍وان‍گ‍ان,Majma'-e Divānegān,Assembly of Madmen,ai_literal_gloss,IA_0033,Sanatizadeh Kermani,صنعتی‌زاده کرمانی,1305,yes,multiple,چاپ «مطبعه‌ی فردوس رشت» و چاپ های دیگر,Printed by Ferdows Press (Rasht) and in other editions.,Appendix D
OPW_0003,رستم در قرن بیست و دوم,Rostam dar Gharn-e Bist-o Dovom,Rostam in the Twenty-Second Century,ai_literal_gloss,IA_0033,Sanatizadeh Kermani,صنعتی‌زاده کرمانی,1313,yes,3,در سال 1396 مجددا توسط انتشارات نفیر‏ منتشر شد و تا سال 1398 به چاپ دوم رسید.‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬,Republished by Nafir Publications in 2017 (1396) and reached its second edition by 2019 (1398).,Appendix D
OPW_0004,درخت مروارید,Derakht-e Morvārid,The Pearl Tree,ai_literal_gloss,IA_0013,Jabbar Baghcheban,جبار باغچه‌بان,1337,no,NA,,,Appendix D
OPW_0005,بابا برفی,Bābā Barfi,Snowy Grandpa,ai_literal_gloss,IA_0013,Jabbar Baghcheban,جبار باغچه‌بان,1349,yes,2,چاپ دوم (در سال 1395 تا 1396),Second edition (2016 to 2017).,Appendix D
OPW_0006,دوست ناشناس,Dust-e Nāshenās,The Unknown Friend,ai_literal_gloss,IA_0018,Mirhadi Rabbani,میرهادی ربانی,NA,NA,NA,,,Appendix D
OPW_0007,من حرفی دارم که فقط شما بچه‌ها باور می‌کنید,Man Harfi Dāram ke Faghat Shomā Bacheh-hā Bāvar Mikonid,I Have Something to Say That Only You Children Will Believe,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1348,no,NA,,,Appendix D
OPW_0008,هفت روز هفته دارم,Haft Ruz-e Hafteh Dāram,I Have Seven Days of the Week,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1364,yes,6,چاپ ششم تا 1393,Sixth edition by 2014 (1393).,Appendix D
OPW_0009,ه‍ف‍ت‌ ک‍م‍ان‌، ه‍ف‍ت‌ رن‍گ,"Haft Kamān, Haft Rang","Seven Arches, Seven Colors",ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1364,yes,5,,,Appendix D
OPW_0010,ه‍زار پ‍ل‍ه‌ ب‍ه‌ دری‍ا م‍ان‍ده‌ اس‍ت‌,Hezār Pelleh be Daryā Mānde Ast,A Thousand Steps Remain to the Sea,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1364,yes,2,,,Appendix D
OPW_0011,تو دی‍گ‍ر از ای‍ن‌ ب‍وت‍ه‌ ه‍زار گ‍ل‌ س‍رخ‌ داری‌,To Digar az In Buteh Hezār Gol-e Sorkh Dāri,You Now Have a Thousand Red Flowers from This Bush,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1368,no,NA,,,Appendix D
OPW_0012,نوشتم باران، باران بارید,"Neveshtam Bārān, Bārān Bārid","I Wrote ""Rain"", and It Rained",ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1368,no,NA,,,Appendix D
OPW_0013,خرگوش سفیدم همیشه سفید بود,Khargush-e Sefidam Hamisheh Sefid Bud,My White Rabbit Was Always White,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1369,yes,7,,,Appendix D
OPW_0014,در بهار، پرنده را صدا کردیم جواب داد,"Dar Bahār, Parandeh rā Sedā Kardim Javāb Dād","In Spring, We Called the Bird and It Answered",ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1369,no,NA,,,Appendix D
OPW_0015,روزه‍ای‌ آخ‍ر پ‍ای‍ی‍ز ب‍ود,Ruzhā-ye Ākhar-e Pāyiz Bud,It Was the Last Days of Autumn,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1369,no,NA,,,Appendix D
