id,title_original,title_fa,title_romanized,title_gloss_en,title_gloss_type,author_id,author_en,author_fa,translator_id,translator_fa,translator_en,year_original,year_persian,reprint_status,reprint_number,notes_fa,notes_en,source_appendix
TRW_0001,Borne,بورن,Born,Borne,official_translation,FA_0142,Jeff VanderMeer,جف واندرمیر,TR_0493,رضا اسکندری آذر,Reza Eskandari Azar,2017,1398,no,NA,,,Appendix C
TRW_0002,The Strange Bird: A Borne Story,پرنده عجیب,Parande-ye Ajib,The Strange Bird,official_translation,FA_0142,Jeff VanderMeer,جف واندرمیر,TR_0493,رضا اسکندری آذر,Reza Eskandari Azar,2017,1399,no,NA,,,Appendix C
TRW_0003,What is not Yours is not Yours: Stories,آن تو نیست، دل مبند,"Ān To Nist, Del Naband",What Is Not Yours Is Not Yours,official_translation,FA_0117,Helen Oyeyemi,هلن اویه‌یمی,TR_0271,لادن کزازی,Ladan Kazazi,2015,1396,no,NA,,,Appendix C
TRW_0004,Jonathan Strange & Mr. Norrell,جاناتان استرنج و آقای نورل,Jānātān Estrenj va Āghaye Norel,Jonathan Strange and Mr Norrell,official_translation,FA_0304,Susanna Clarke,سوزانا کلارک,TR_0552,سید مصطفی رضیئی,Seyed Mostafa Raziei,2004,1391,yes,multiple,,,Appendix C
TRW_0005,Piranesi,پیرانیزی,Pirāni-zi,Piranesi,official_translation,FA_0304,Susanna Clarke,سوزانا کلارک,TR_0079,اطلسی خرامانی,Atlasi Kharamani,2020,1399,yes,multiple,,,Appendix C
TRW_0006,Pretty Monsters: Stories,اهریمنان زیبا,Ahrimanān-e Zibā,Pretty Monsters: Stories,official_translation,FA_0173,Kelly Link,کلی لینک,TR_0641,زهرا جلال‌زاده,Zahra Jalalzadeh,2003,1396,no,NA,,,Appendix C
TRW_0007,Get in Trouble: Stories,به دردسر افتادن: مجموعه داستان,Be Dardesar Oftādan: Majmue-ye Dāstān,Get in Trouble: Stories,official_translation,FA_0173,Kelly Link,کلی لینک,TR_0522,سحر جراحی,Sahar Jarrahi,2015,1395,no,NA,,,Appendix C
TRW_0008,Stories of Your Life and Others,داستان زندگی تو و دیگران,Dāstān-e Zendegi-ye To va Digarān,Stories of Your Life and Others,official_translation,FA_0310,Ted Chiang,تد چیانگ,TR_0547,ستاره بابایی,Setareh Babaei,2002,1396,no,NA,,,Appendix C
TRW_0009,Harry Potter,هری پاتر (مجموعه هفت جلدی),Hari Pāter (Majmue-ye Haft Jeldi),Harry Potter,official_translation,FA_0127,J. K. Rowling,جی. کی. رولینگ,TR_0514; TR_0625,سعید کبریایی; ویدا اسلامیه,Saeed Kebriaei; Vida Eslamiyeh,1997-2007,1378-1386,yes,multiple,اولین ترجمه از جلد نخست این مجموعه توسط سعید کبریایی در نشر کتابسرای تندیس در سال 1378 منتشر شد و ترجمه جلد آخر آن را خانم ویدا اسلامیه در سال 1386 در همان انتشارات به چاپ رساند.,The first translation of the first volume of this series was published by Saeed Kobraei in 1999 (1378) by Tondis Bookstore Publications. The final volume was translated by Vida Eslamiyeh and published by the same publisher in 2007 (1386).,Appendix C
TRW_0010,Short Stories from Hogwarts of Heroism Hardship and Dangerous Hobbies,داستان‌های کوتاهی از قهرمانی‌ها، سخت‌کوشی‌ها و سرگرمی‌های خطرناک در هاگوارتز,"Dāstān-hā-ye Kutāhi az Ghahremāni-hā, Sakht-Kushi-hā va Sargarmi-hā-ye Khatarṇāk dar Hāgvārtz","Short Stories of Heroism, Hard Work, and Dangerous Hobbies at Hogwarts",ai_literal_gloss,FA_0127,J. K. Rowling,جی. کی. رولینگ,TR_0625,ویدا اسلامیه,Vida Eslamiyeh,2016,1395,yes,multiple,,,Appendix C
